id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.district,children_count.village,zip_codes,geo.lat,geo.lon
AT,1,ແຂວງ,Province,ແຂວງອັດຕະປື,Attapeu,attapeu-at,AT,,,,,,4,213,,14.728,106.994
AT-01,2,ເມືອງ,District,ພູວົງ,Phouvong,phouvong-at-01,AT-01,,AT,ແຂວງອັດຕະປື,Attapeu,,,31,,14.611,107.075
AT-02,2,ເມືອງ,District,ສະໜາມໄຊ,Sanamxay,sanamxay-at-02,AT-02,,AT,ແຂວງອັດຕະປື,Attapeu,,,44,,14.708,106.401
AT-03,2,ເມືອງ,District,ຊານໄຊ,Sanxay,sanxay-at-03,AT-03,,AT,ແຂວງອັດຕະປື,Attapeu,,,73,,15.049,107.296
AT-04,2,ເມືອງ,District,ໄຊເສດຖາ,Xaysetha,xaysetha-at-04,AT-04,,AT,ແຂວງອັດຕະປື,Attapeu,,,65,,14.888,107.034
BK,1,ແຂວງ,Province,ແຂວງບໍ່ແກ້ວ,Bokeo,bokeo-bk,BK,,,,,,5,345,,20.234,100.586
BK-01,2,ເມືອງ,District,ຫ້ວຍຊາຍ,Huoixai,huoixai-bk-01,BK-01,,BK,ແຂວງບໍ່ແກ້ວ,Bokeo,,,113,,20.386,100.641
BK-02,2,ເມືອງ,District,ເມິງ,Meung,meung-bk-02,BK-02,,BK,ແຂວງບໍ່ແກ້ວ,Bokeo,,,55,,20.69,100.544
BK-03,2,ເມືອງ,District,ປາກທາ,Paktha,paktha-bk-03,BK-03,,BK,ແຂວງບໍ່ແກ້ວ,Bokeo,,,44,,19.954,100.681
BK-04,2,ເມືອງ,District,ຜາອຸດົມ,Pha Oudom,pha-oudom-bk-04,BK-04,,BK,ແຂວງບໍ່ແກ້ວ,Bokeo,,,86,,20.131,100.874
BK-05,2,ເມືອງ,District,ຕົ້ນເຜິ້ງ,Tonpheung,tonpheung-bk-05,BK-05,,BK,ແຂວງບໍ່ແກ້ວ,Bokeo,,,47,,20.476,100.271
BL,1,ແຂວງ,Province,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,bolikhamsai-bl,BL,,,,,,7,487,,18.514,104.384
BL-01,2,ເມືອງ,District,ບໍລິຄັນ,Bolikhanh,bolikhanh-bl-01,BL-01,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,41,,18.656,103.824
BL-02,2,ເມືອງ,District,ຄຳເກີດ,Khamkeuth,khamkeuth-bl-02,BL-02,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,138,,18.188,104.952
BL-03,2,ເມືອງ,District,ປາກກະດິງ,Pakkading,pakkading-bl-03,BL-03,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,55,,18.398,104.112
BL-04,2,ເມືອງ,District,ປາກຊັນ,Pakxane,pakxane-bl-04,BL-04,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,73,,18.451,103.742
BL-05,2,ເມືອງ,District,ທ່າພະບາດ,Thaphabath,thaphabath-bl-05,BL-05,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,35,,18.38,103.109
BL-06,2,ເມືອງ,District,ວຽງທອງ,Viengthong,viengthong-bl-06,BL-06,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,94,,18.817,104.389
BL-07,2,ເມືອງ,District,ໄຊຈຳພອນ,Xaychamphone,xaychamphone-bl-07,BL-07,,BL,ແຂວງບໍລິຄຳໄຊ,Bolikhamsai,,,51,,18.583,104.92
CH,1,ແຂວງ,Province,ແຂວງຈຳປາສັກ,Champasak,champasak-ch,CH,,,,,,11,1068,,14.624,105.863
CH-01,2,ເມືອງ,District,ບາຈຽງຈະເລີນສຸກ,Bachiangchaleunsook,bachiangchaleunsook-ch-01,CH-01,,CH,ແຂວງຈຳປາສັກ,Champasak,,,82,,15.25,105.973
CH-02,2,ເມືອງ,District,ຈຳປາສັກ,Champasack,champasack-ch-02,CH-02,,CH,ແຂວງຈຳປາສັກ,Champasak,,,99,,14.924,105.751
CH-03,2,ເມືອງ,District,ໂຂງ,Khong,khong-ch-03,CH-03,,CH,ແຂວງຈຳປາສັກ,Champasak,,,193,,14.222,106.019
CH-04,2,ເມືອງ,District,ມູນລະປະໂມກ,Moonlapamok,moonlapamok-ch-04,CH-04,,CH,ແຂວງຈຳປາສັກ,Champasak,,,56,,14.177,105.451
CH-05,2,ເມືອງ,District,ປາກເຊ,Pakse,pakse-ch-05,CH-05,,CH,ແຂວງຈຳປາສັກ,Champasak,,,30,,15.149,105.849
CH-06,2,ເມືອງ,District,ປາກຊ່ອງ,Paksxong,paksxong-ch-06,CH-06,,CH,ແຂວງຈຳປາສັກ,Champasak,,,119,,15.052,106.383
CH-07,2,ເມືອງ,District,ປະທຸມພອນ,Pathoomphone,pathoomphone-ch-07,CH-07,,CH,ແຂວງຈຳປາສັກ,Champasak,,,105,,14.651,106.187
CH-08,2,ເມືອງ,District,ໂພນທອງ,Phonthong,phonthong-ch-08,CH-08,,CH,ແຂວງຈຳປາສັກ,Champasak,,,201,,15.085,105.67
CH-09,2,ເມືອງ,District,ສາມັກຄີໄຊ,Samakkhixay,samakkhixay-ch-09,CH-09,,CH,ແຂວງຈຳປາສັກ,Champasak,,,23,,14.963,106.794
CH-10,2,ເມືອງ,District,ຊະນະສົມບູນ,Sanasomboon,sanasomboon-ch-10,CH-10,,CH,ແຂວງຈຳປາສັກ,Champasak,,,94,,15.39,105.689
CH-11,2,ເມືອງ,District,ສຸຂຸມາ,Sukhuma,sukhuma-ch-11,CH-11,,CH,ແຂວງຈຳປາສັກ,Champasak,,,66,,14.597,105.623
HO,1,ແຂວງ,Province,ແຂວງຫົວພັນ,Houaphan,houaphan-ho,HO,,,,,,9,1003,,20.274,104.317
HO-01,2,ເມືອງ,District,ແອດ,Add,add-ho-01,HO-01,,HO,ແຂວງຫົວພັນ,Houaphan,,,85,,20.739,103.803
HO-02,2,ເມືອງ,District,ຮ້ຽມ,Hiem,hiem-ho-02,HO-02,,HO,ແຂວງຫົວພັນ,Houaphan,,,33,,19.994,103.244
HO-03,2,ເມືອງ,District,ກວັນ,Kuan,kuan-ho-03,HO-03,,HO,ແຂວງຫົວພັນ,Houaphan,,,102,,19.717,104.43
HO-04,2,ເມືອງ,District,ສົບເບົາ,Sopbao,sopbao-ho-04,HO-04,,HO,ແຂວງຫົວພັນ,Houaphan,,,115,,20.655,104.423
HO-05,2,ເມືອງ,District,ວຽງໄຊ,Viengxay,viengxay-ho-05,HO-05,,HO,ແຂວງຫົວພັນ,Houaphan,,,161,,20.328,104.544
HO-06,2,ເມືອງ,District,ຊຳເໜືອ,Xamneua,xamneua-ho-06,HO-06,,HO,ແຂວງຫົວພັນ,Houaphan,,,220,,20.401,104.067
HO-07,2,ເມືອງ,District,ຊຳໃຕ້,Xamtay,xamtay-ho-07,HO-07,,HO,ແຂວງຫົວພັນ,Houaphan,,,120,,20.011,104.808
HO-08,2,ເມືອງ,District,ຊຽງຄໍ້,Xiengkhor,xiengkhor-ho-08,HO-08,,HO,ແຂວງຫົວພັນ,Houaphan,,,104,,20.831,104.199
HO-09,2,ເມືອງ,District,ຊ່ອນ,Xon,xon-ho-09,HO-09,,HO,ແຂວງຫົວພັນ,Houaphan,,,63,,20.691,103.485
KH,1,ແຂວງ,Province,ແຂວງຄຳມ່ວນ,Khammouane,khammouane-kh,KH,,,,,,9,778,,17.635,105.342
KH-01,2,ເມືອງ,District,ບົວລະພາ,Bualapha,bualapha-kh-01,KH-01,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,125,,17.213,106.234
KH-02,2,ເມືອງ,District,ຫີນບູນ,Hinboon,hinboon-kh-02,KH-02,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,117,,17.838,104.427
KH-03,2,ເມືອງ,District,ຄຼນຄຳ,Khounkham,khounkham-kh-03,KH-03,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,47,,18.108,104.542
KH-04,2,ເມືອງ,District,ມະຫາໄຊ,Mahaxay,mahaxay-kh-04,KH-04,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,79,,17.359,105.318
KH-05,2,ເມືອງ,District,ນາກາຍ,Nakay,nakay-kh-05,KH-05,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,77,,18.02,105.229
KH-06,2,ເມືອງ,District,ຍົມມະລາດ,Nhommalath,nhommalath-kh-06,KH-06,,KH,ແຂວງຄຳມ່ວນ,Khammouane,,,90,,17.577,105.307
